2026-05-26T17:05:34.150180+00:00 [1/663] Hunt综合征 | key=Hunt综合征 | ValueError: Disease_id not found from SymMap search keys=['Hunt综合征', '耳带状疱疹', 'Ramsay Hunt综合征', '膝状神经节综合征']
2026-05-26T17:05:43.869590+00:00 [2/663] IgA肾病 | key=IgA肾病 | ValueError: Disease_id not found from SymMap search keys=['IgA肾病', 'IgA Nephropathy', 'Berger病']
2026-05-26T17:05:49.832229+00:00 [3/663] IgA血管炎 | key=IgA血管炎 | ValueError: Disease_id not found from SymMap search keys=['IgA血管炎', '过敏性紫癜']
2026-05-26T17:06:01.323087+00:00 [4/663] IgA血管炎性肾炎 | key=IgA血管炎性肾炎 | ValueError: Disease_id not found from SymMap search keys=['IgA血管炎性肾炎', '7天癜肾炎', 'IgA血管炎性肾', '紫癜性肾炎']
2026-05-26T17:06:06.014174+00:00 [5/663] Metatarsalgia） | key=Metatarsalgia） | ValueError: Disease_id not found from SymMap search keys=['Metatarsalgia）']
2026-05-26T17:06:16.745334+00:00 [6/663] Vogt-小柳-原田综合征 | key=Vogt-小柳-原田综合征 | ValueError: Disease_id not found from SymMap search keys=['Vogt-小柳-原田综合征', 'Vogt-Koyanagi-Harada Syndrome', 'VKH综合征', '特发性葡萄膜大脑炎']
2026-05-26T17:06:20.964764+00:00 [7/663] infantile hemangioma | key=infantile hemangioma | ValueError: Disease_id not found from SymMap search keys=['infantile hemangioma']
2026-05-26T17:06:29.435076+00:00 [9/663] 上消化道出血 | key=上消化道出血 | ValueError: Disease_id not found from SymMap search keys=['上消化道出血', 'Upper Gastrointestinal Hemorrhage']
2026-05-26T17:06:34.717473+00:00 [10/663] 上睑下垂 | key=上睑下垂 | ValueError: Disease_id not found from SymMap search keys=['上睑下垂', 'Ptosis']
2026-05-26T17:06:39.876385+00:00 [11/663] 下肢动脉硬化闭塞症 | key=下肢动脉硬化闭塞症 | ValueError: Disease_id not found from SymMap search keys=['下肢动脉硬化闭塞症', 'ASO']
2026-05-26T17:06:45.539517+00:00 [12/663] 下肢慢性溃疡 | key=下肢慢性溃疡 | ValueError: Disease_id not found from SymMap search keys=['下肢慢性溃疡', '臁疮']
2026-05-26T17:06:54.833301+00:00 [13/663] 下肢深静脉血栓形成 | key=下肢深静脉血栓形成 | ValueError: Disease_id not found from SymMap search keys=['下肢深静脉血栓形成', '股肿', '深静脉血栓', 'DVT']
2026-05-26T17:07:00.310393+00:00 [14/663] 下肢静脉曲张 | key=下肢静脉曲张 | ValueError: Disease_id not found from SymMap search keys=['下肢静脉曲张', '筋瘤']
2026-05-26T17:07:05.528536+00:00 [15/663] 不射精 | key=不射精 | ValueError: Disease_id not found from SymMap search keys=['不射精', 'Anejaculation']
2026-05-26T17:07:14.600130+00:00 [16/663] 不育症 | key=不育症 | ValueError: Disease_id not found from SymMap search keys=['不育症', '男子绝子', '无子', '无嗣']
2026-05-26T17:07:22.169025+00:00 [17/663] 中心性浆液性脉络膜视网膜病变 | key=中心性浆液性脉络膜视网膜病变 | ValueError: Disease_id not found from SymMap search keys=['中心性浆液性脉络膜视网膜病变', 'Central Serous Chorioretinopathy', 'CSC']
2026-05-26T17:07:27.300774+00:00 [18/663] 中耳胆脂瘤 | key=中耳胆脂瘤 | ValueError: Disease_id not found from SymMap search keys=['中耳胆脂瘤', 'cholesteatoma of middle ear']
2026-05-26T17:07:32.922602+00:00 [19/663] 中间葡萄膜炎 | key=中间葡萄膜炎 | ValueError: Disease_id not found from SymMap search keys=['中间葡萄膜炎', 'Intermediate Uveitis']
2026-05-26T17:07:36.607562+00:00 [20/663] 丹毒】 【erysipelas | key=丹毒】 【erysipelas | ValueError: Disease_id not found from SymMap search keys=['丹毒】 【erysipelas']
2026-05-26T17:07:48.219257+00:00 [22/663] 乙状窦血栓性静脉炎 | key=乙状窦血栓性静脉炎 | ValueError: Disease_id not found from SymMap search keys=['乙状窦血栓性静脉炎', 'thrombophlebitis of the sigmoid sinus']
2026-05-26T17:07:55.062038+00:00 [23/663] 乳头溢血 | key=乳头溢血 | ValueError: Disease_id not found from SymMap search keys=['乳头溢血', '乳衄', '乳头血性分泌物']
